'Harry Potter','hp@hogwarts.com','Hogwarts'
'Rubeus Hagrid','rh@hogwarts.com','Hogwarts'
'Hermione Granger','hg@hogwarts.com','Hogwarts'
'Albus Dumbledore','ad@hogwarts.com','Hogwarts'
'Lavendar Brown','lb@hogwarts.com','Hogwarts'
'Fred Weasley','fw@hogwarts.com','Hogwarts'
'George Weasley','gw@hogwarts.com','Hogwarts'
'Ginny Weasley','gnw@hogwarts.com','Hogwarts'
'Lu','lu@hogwarts.com','Hogwarts'
'Ron Weasley','rw@hogwarts.com','Hogwarts'
'Percy Weasley','pw@hogwarts.com','Hogwarts'
'Zhang','zhang@hogwarts.com','Hogwarts'
